"FileName1","FileName2","RF","CI"
"PF00066_0","PF00066_sc0",0.97029702970297,0.972038987348605
"PF00066_0","PF00066_sc1",0.702970297029703,0.791946027217787
"PF00066_0","PF00066_sc10",0.574257425742574,0.730258232966774
"PF00066_0","PF00066_sc11",0.544554455445545,0.715804553703861
"PF00066_0","PF00066_sc2",0.643564356435644,0.762228949234971
"PF00066_0","PF00066_sc3",0.564356435643564,0.734907228476533
"PF00066_0","PF00066_sc4",0.613861386138614,0.76235343041986
"PF00066_0","PF00066_sc5",0.643564356435644,0.762334064554148
"PF00066_0","PF00066_sc6",0.594059405940594,0.744574003013612
"PF00066_0","PF00066_sc7",0.603960396039604,0.73434737189446
"PF00066_0","PF00066_sc8",0.574257425742574,0.735251881775589
"PF00066_0","PF00066_sc9",0.564356435643564,0.7316242662827
"PF00066_0","PF00066_scovar0",0.0396039603960396,0.339313697870787
"PF00066_0","PF00066_scovar1",0.0198019801980198,0.29899470669337
"PF00066_0","PF00066_scovar10",0.0198019801980198,0.143127941550408
"PF00066_0","PF00066_scovar11",0.0198019801980198,0.130372045487855
"PF00066_0","PF00066_scovar2",0.0099009900990099,0.232511593111088
"PF00066_0","PF00066_scovar3",0.0099009900990099,0.18608304896822
"PF00066_0","PF00066_scovar4",0.0198019801980198,0.168653116445107
"PF00066_0","PF00066_scovar5",0,0.143482982932804
"PF00066_0","PF00066_scovar6",0,0.135877730101373
"PF00066_0","PF00066_scovar7",0.0099009900990099,0.142914816196535
"PF00066_0","PF00066_scovar8",0.0099009900990099,0.133427274695974
"PF00066_0","PF00066_scovar9",0.0099009900990099,0.139602770605582
"PF00066_0","PF00066_sr0",0.0594059405940594,0.319199801623814
"PF00066_0","PF00066_sr1",0.0297029702970297,0.233843990174346
"PF00066_0","PF00066_sr10",0.0297029702970297,0.15452414690878
"PF00066_0","PF00066_sr11",0.0198019801980198,0.176061400210028
"PF00066_0","PF00066_sr2",0.0297029702970297,0.189970034701239
"PF00066_0","PF00066_sr3",0.0297029702970297,0.175175828034072
"PF00066_0","PF00066_sr4",0.0297029702970297,0.181667567415875
"PF00066_0","PF00066_sr5",0.0297029702970297,0.168532167390065
"PF00066_0","PF00066_sr6",0.0198019801980198,0.155661964992794
"PF00066_0","PF00066_sr7",0.0297029702970297,0.160354796380372
"PF00066_0","PF00066_sr8",0.0297029702970297,0.164972749313512
"PF00066_0","PF00066_sr9",0.0297029702970297,0.157035282694857
"PF00066_1","PF00066_sc0",0.792079207920792,0.845244004815865
"PF00066_1","PF00066_sc1",0.841584158415842,0.887067364285181
"PF00066_1","PF00066_sc10",0.554455445544555,0.738997984076566
"PF00066_1","PF00066_sc11",0.514851485148515,0.734652581207318
"PF00066_1","PF00066_sc2",0.772277227722772,0.877889579639337
"PF00066_1","PF00066_sc3",0.683168316831683,0.84143949493749
"PF00066_1","PF00066_sc4",0.643564356435644,0.814050255067284
"PF00066_1","PF00066_sc5",0.623762376237624,0.77514073858782
"PF00066_1","PF00066_sc6",0.564356435643564,0.743550312576299
"PF00066_1","PF00066_sc7",0.554455445544555,0.72549976331331
"PF00066_1","PF00066_sc8",0.514851485148515,0.739003743576944
"PF00066_1","PF00066_sc9",0.514851485148515,0.727797424115231
"PF00066_1","PF00066_scovar0",0.0198019801980198,0.287050341613546
"PF00066_1","PF00066_scovar1",0,0.254392837553339
"PF00066_1","PF00066_scovar10",0.0099009900990099,0.145992058093737
"PF00066_1","PF00066_scovar11",0.0099009900990099,0.13366531400918
"PF00066_1","PF00066_scovar2",0,0.221678641950434
"PF00066_1","PF00066_scovar3",0,0.185287211756037
"PF00066_1","PF00066_scovar4",0.0099009900990099,0.168086385296211
"PF00066_1","PF00066_scovar5",0,0.145852451618381
"PF00066_1","PF00066_scovar6",0,0.139437000100479
"PF00066_1","PF00066_scovar7",0.0099009900990099,0.145904054837265
"PF00066_1","PF00066_scovar8",0.0099009900990099,0.139782554163258
"PF00066_1","PF00066_scovar9",0.0099009900990099,0.144685522813731
"PF00066_1","PF00066_sr0",0.0396039603960396,0.276225889861904
"PF00066_1","PF00066_sr1",0.0297029702970297,0.215693116676902
"PF00066_1","PF00066_sr10",0.0297029702970297,0.159654915973141
"PF00066_1","PF00066_sr11",0.0198019801980198,0.17661890844256
"PF00066_1","PF00066_sr2",0.0297029702970297,0.182212810161481
"PF00066_1","PF00066_sr3",0.0297029702970297,0.17458511223237
"PF00066_1","PF00066_sr4",0.0297029702970297,0.183192623020019
"PF00066_1","PF00066_sr5",0.0297029702970297,0.172476101512648
"PF00066_1","PF00066_sr6",0.0198019801980198,0.159841735105674
"PF00066_1","PF00066_sr7",0.0297029702970297,0.162961591139113
"PF00066_1","PF00066_sr8",0.0297029702970297,0.16946449776223
"PF00066_1","PF00066_sr9",0.0297029702970297,0.159010560379224
"PF00066_10","PF00066_sc0",0.584158415841584,0.738734343872276
"PF00066_10","PF00066_sc1",0.594059405940594,0.75929629503183
"PF00066_10","PF00066_sc10",0.821782178217822,0.86918653586265
"PF00066_10","PF00066_sc11",0.772277227722772,0.840793624948485
"PF00066_10","PF00066_sc2",0.663366336633663,0.785947512600011
"PF00066_10","PF00066_sc3",0.673267326732673,0.835425356977658
"PF00066_10","PF00066_sc4",0.653465346534653,0.77738707324554
"PF00066_10","PF00066_sc5",0.782178217821782,0.866964011897908
"PF00066_10","PF00066_sc6",0.821782178217822,0.876924059785543
"PF00066_10","PF00066_sc7",0.772277227722772,0.836492431629351
"PF00066_10","PF00066_sc8",0.752475247524752,0.848812815045638
"PF00066_10","PF00066_sc9",0.792079207920792,0.850868060055617
"PF00066_10","PF00066_scovar0",0.0099009900990099,0.254209025772814
"PF00066_10","PF00066_scovar1",0,0.226846559421882
"PF00066_10","PF00066_scovar10",0.0099009900990099,0.144755248127024
"PF00066_10","PF00066_scovar11",0.0099009900990099,0.133119176809406
"PF00066_10","PF00066_scovar2",0,0.199577177553885
"PF00066_10","PF00066_scovar3",0,0.173484662009357
"PF00066_10","PF00066_scovar4",0.0099009900990099,0.161631499652194
"PF00066_10","PF00066_scovar5",0,0.146881164517342
"PF00066_10","PF00066_scovar6",0,0.145612111403394
"PF00066_10","PF00066_scovar7",0.0099009900990099,0.148731657737176
"PF00066_10","PF00066_scovar8",0.0099009900990099,0.136149696512161
"PF00066_10","PF00066_scovar9",0.0099009900990099,0.142430378657208
"PF00066_10","PF00066_sr0",0.0198019801980198,0.24151986549899
"PF00066_10","PF00066_sr1",0.0297029702970297,0.202952681083934
"PF00066_10","PF00066_sr10",0.0297029702970297,0.169938009243819
"PF00066_10","PF00066_sr11",0.0198019801980198,0.18253080702638
"PF00066_10","PF00066_sr2",0.0297029702970297,0.173202807132428
"PF00066_10","PF00066_sr3",0.0297029702970297,0.176009797761576
"PF00066_10","PF00066_sr4",0.0297029702970297,0.182415836453742
"PF00066_10","PF00066_sr5",0.0297029702970297,0.173595607119977
"PF00066_10","PF00066_sr6",0.0198019801980198,0.163820250475251
"PF00066_10","PF00066_sr7",0.0297029702970297,0.165260189872792
"PF00066_10","PF00066_sr8",0.0297029702970297,0.174227301521175
"PF00066_10","PF00066_sr9",0.0297029702970297,0.170447466873376
"PF00066_11","PF00066_sc0",0.584158415841584,0.756886562769298
"PF00066_11","PF00066_sc1",0.584158415841584,0.75913701909494
"PF00066_11","PF00066_sc10",0.782178217821782,0.829008844293045
"PF00066_11","PF00066_sc11",0.732673267326733,0.804578408640442
"PF00066_11","PF00066_sc2",0.663366336633663,0.788590154419321
"PF00066_11","PF00066_sc3",0.653465346534653,0.76846696639756
"PF00066_11","PF00066_sc4",0.673267326732673,0.804623286263058
"PF00066_11","PF00066_sc5",0.722772277227723,0.785458376306982
"PF00066_11","PF00066_sc6",0.772277227722772,0.83160326431852
"PF00066_11","PF00066_sc7",0.742574257425743,0.795174076955597
"PF00066_11","PF00066_sc8",0.732673267326733,0.809714359480864
"PF00066_11","PF00066_sc9",0.772277227722772,0.824649902716255
"PF00066_11","PF00066_scovar0",0.0099009900990099,0.273583392927807
"PF00066_11","PF00066_scovar1",0,0.253359774800308
"PF00066_11","PF00066_scovar10",0.0099009900990099,0.141990414613172
"PF00066_11","PF00066_scovar11",0.0099009900990099,0.127763340335452
"PF00066_11","PF00066_scovar2",0,0.206728278297329
"PF00066_11","PF00066_scovar3",0,0.175529311739781
"PF00066_11","PF00066_scovar4",0.0099009900990099,0.165726343050296
"PF00066_11","PF00066_scovar5",0,0.144740797528328
"PF00066_11","PF00066_scovar6",0,0.142801130176601
"PF00066_11","PF00066_scovar7",0.0099009900990099,0.144882759516237
"PF00066_11","PF00066_scovar8",0.0099009900990099,0.13490685269005
"PF00066_11","PF00066_scovar9",0.0099009900990099,0.138975187166796
"PF00066_11","PF00066_sr0",0.0198019801980198,0.268688044926102
"PF00066_11","PF00066_sr1",0.0297029702970297,0.211499999951847
"PF00066_11","PF00066_sr10",0.0297029702970297,0.159423271933973
"PF00066_11","PF00066_sr11",0.0198019801980198,0.174964212372369
"PF00066_11","PF00066_sr2",0.0297029702970297,0.178808093178937
"PF00066_11","PF00066_sr3",0.0297029702970297,0.177113276476412
"PF00066_11","PF00066_sr4",0.0297029702970297,0.180143884968838
