"FileName1","FileName2","RF_3","CI_3"
"PF00066_0","PF00066_sc0",0.762376237623762,0.851293104792608
"PF00066_0","PF00066_sc1",0.742574257425743,0.82840019323668
"PF00066_0","PF00066_sc10",0.564356435643564,0.715048811966075
"PF00066_0","PF00066_sc11",0.584158415841584,0.717393652005456
"PF00066_0","PF00066_sc2",0.613861386138614,0.72794691168327
"PF00066_0","PF00066_sc3",0.613861386138614,0.762593620295008
"PF00066_0","PF00066_sc4",0.574257425742574,0.754748446776762
"PF00066_0","PF00066_sc5",0.633663366336634,0.755643532106076
"PF00066_0","PF00066_sc6",0.613861386138614,0.738527614831477
"PF00066_0","PF00066_sc7",0.594059405940594,0.732099430170239
"PF00066_0","PF00066_sc8",0.504950495049505,0.695906740611505
"PF00066_0","PF00066_sc9",0.524752475247525,0.731689016426965
"PF00066_0","PF00066_scovar0",0.0297029702970297,0.301481172101387
"PF00066_0","PF00066_scovar1",0.0198019801980198,0.237679187414965
"PF00066_0","PF00066_scovar10",0,0.139258931069777
"PF00066_0","PF00066_scovar11",0,0.120252315950629
"PF00066_0","PF00066_scovar2",0.0099009900990099,0.214427228219156
"PF00066_0","PF00066_scovar3",0.0099009900990099,0.172686898484125
"PF00066_0","PF00066_scovar4",0.0099009900990099,0.170316800391302
"PF00066_0","PF00066_scovar5",0.0099009900990099,0.149194918486468
"PF00066_0","PF00066_scovar6",0,0.133007753205823
"PF00066_0","PF00066_scovar7",0,0.120966211184632
"PF00066_0","PF00066_scovar8",0,0.132880394822986
"PF00066_0","PF00066_scovar9",0,0.125684952226019
"PF00066_0","PF00066_sr0",0.0396039603960396,0.292836046654513
"PF00066_0","PF00066_sr1",0,0.26154765984273
"PF00066_0","PF00066_sr10",0,0.152294228157655
"PF00066_0","PF00066_sr11",0,0.153647723419405
"PF00066_0","PF00066_sr2",0,0.170958614848145
"PF00066_0","PF00066_sr3",0,0.16672423180275
"PF00066_0","PF00066_sr4",0,0.16697319416566
"PF00066_0","PF00066_sr5",0,0.154363358940868
"PF00066_0","PF00066_sr6",0,0.148977829319293
"PF00066_0","PF00066_sr7",0,0.138137337338117
"PF00066_0","PF00066_sr8",0,0.140413749460241
"PF00066_0","PF00066_sr9",0,0.152085172593873
"PF00066_1","PF00066_sc0",0.722772277227723,0.829445669462282
"PF00066_1","PF00066_sc1",0.94059405940594,0.966231446208864
"PF00066_1","PF00066_sc10",0.574257425742574,0.760158625044707
"PF00066_1","PF00066_sc11",0.613861386138614,0.78200458056629
"PF00066_1","PF00066_sc2",0.722772277227723,0.792427827855432
"PF00066_1","PF00066_sc3",0.722772277227723,0.838724546350392
"PF00066_1","PF00066_sc4",0.693069306930693,0.819919219651702
"PF00066_1","PF00066_sc5",0.683168316831683,0.803793637166692
"PF00066_1","PF00066_sc6",0.623762376237624,0.774697565577008
"PF00066_1","PF00066_sc7",0.584158415841584,0.743206651636813
"PF00066_1","PF00066_sc8",0.504950495049505,0.718933161749
"PF00066_1","PF00066_sc9",0.504950495049505,0.745430954804475
"PF00066_1","PF00066_scovar0",0.0099009900990099,0.253555820642368
"PF00066_1","PF00066_scovar1",0.0198019801980198,0.212944881203949
"PF00066_1","PF00066_scovar10",0,0.141740332779052
"PF00066_1","PF00066_scovar11",0,0.11980632901508
"PF00066_1","PF00066_scovar2",0.0198019801980198,0.201103780567827
"PF00066_1","PF00066_scovar3",0.0198019801980198,0.174389911616752
"PF00066_1","PF00066_scovar4",0.0099009900990099,0.161420921809139
"PF00066_1","PF00066_scovar5",0.0099009900990099,0.155969996453327
"PF00066_1","PF00066_scovar6",0,0.13817886172315
"PF00066_1","PF00066_scovar7",0,0.123719420632316
"PF00066_1","PF00066_scovar8",0,0.134737929337019
"PF00066_1","PF00066_scovar9",0,0.126896705043053
"PF00066_1","PF00066_sr0",0.0198019801980198,0.260861049373585
"PF00066_1","PF00066_sr1",0,0.246004131203684
"PF00066_1","PF00066_sr10",0,0.153427799804553
"PF00066_1","PF00066_sr11",0,0.15391970385279
"PF00066_1","PF00066_sr2",0,0.170321572884707
"PF00066_1","PF00066_sr3",0,0.166146373654892
"PF00066_1","PF00066_sr4",0,0.167192652007955
"PF00066_1","PF00066_sr5",0,0.159788129200479
"PF00066_1","PF00066_sr6",0,0.153037215409125
"PF00066_1","PF00066_sr7",0,0.14229171293272
"PF00066_1","PF00066_sr8",0,0.141917290714341
"PF00066_1","PF00066_sr9",0,0.155764853220572
"PF00066_10","PF00066_sc0",0.534653465346535,0.716050187343395
"PF00066_10","PF00066_sc1",0.613861386138614,0.78721463291663
"PF00066_10","PF00066_sc10",0.752475247524752,0.840714734320433
"PF00066_10","PF00066_sc11",0.762376237623762,0.848726201649562
"PF00066_10","PF00066_sc2",0.613861386138614,0.74794420734522
"PF00066_10","PF00066_sc3",0.732673267326733,0.857259446535486
"PF00066_10","PF00066_sc4",0.663366336633663,0.835556692184472
"PF00066_10","PF00066_sc5",0.712871287128713,0.822693547498133
"PF00066_10","PF00066_sc6",0.712871287128713,0.815065230314617
"PF00066_10","PF00066_sc7",0.693069306930693,0.794830423391311
"PF00066_10","PF00066_sc8",0.653465346534653,0.802878582070338
"PF00066_10","PF00066_sc9",0.712871287128713,0.83527526569928
"PF00066_10","PF00066_scovar0",0.0099009900990099,0.227065959442896
"PF00066_10","PF00066_scovar1",0.0198019801980198,0.195168006294567
"PF00066_10","PF00066_scovar10",0,0.139759567690294
"PF00066_10","PF00066_scovar11",0,0.124435196280662
"PF00066_10","PF00066_scovar2",0.0198019801980198,0.196042087196806
"PF00066_10","PF00066_scovar3",0.0198019801980198,0.164999106620119
"PF00066_10","PF00066_scovar4",0.0099009900990099,0.155356549315917
"PF00066_10","PF00066_scovar5",0.0099009900990099,0.147993793675601
"PF00066_10","PF00066_scovar6",0,0.138290225092439
"PF00066_10","PF00066_scovar7",0,0.125564567590336
"PF00066_10","PF00066_scovar8",0,0.133185673061908
"PF00066_10","PF00066_scovar9",0,0.129474324381592
"PF00066_10","PF00066_sr0",0.0297029702970297,0.237062848711558
"PF00066_10","PF00066_sr1",0.0198019801980198,0.228689252307129
"PF00066_10","PF00066_sr10",0.0297029702970297,0.162677917540127
"PF00066_10","PF00066_sr11",0.0297029702970297,0.161988259244275
"PF00066_10","PF00066_sr2",0.0297029702970297,0.173050138735063
"PF00066_10","PF00066_sr3",0.0297029702970297,0.172261643671584
"PF00066_10","PF00066_sr4",0.0198019801980198,0.162709303376743
"PF00066_10","PF00066_sr5",0.0297029702970297,0.166302756306132
"PF00066_10","PF00066_sr6",0.0297029702970297,0.159995250248113
"PF00066_10","PF00066_sr7",0.0198019801980198,0.149638868366744
"PF00066_10","PF00066_sr8",0.0297029702970297,0.146656723537233
"PF00066_10","PF00066_sr9",0.0297029702970297,0.160831825725069
"PF00066_11","PF00066_sc0",0.534653465346535,0.739497741745471
"PF00066_11","PF00066_sc1",0.584158415841584,0.774553181555832
"PF00066_11","PF00066_sc10",0.712871287128713,0.79120142391836
"PF00066_11","PF00066_sc11",0.742574257425743,0.799686326303838
"PF00066_11","PF00066_sc2",0.594059405940594,0.751745310668858
"PF00066_11","PF00066_sc3",0.693069306930693,0.791882504738017
"PF00066_11","PF00066_sc4",0.613861386138614,0.775216519705412
"PF00066_11","PF00066_sc5",0.673267326732673,0.77727657299559
"PF00066_11","PF00066_sc6",0.673267326732673,0.780779057413227
"PF00066_11","PF00066_sc7",0.663366336633663,0.769963478354895
"PF00066_11","PF00066_sc8",0.613861386138614,0.752263562263196
"PF00066_11","PF00066_sc9",0.673267326732673,0.789527308269084
"PF00066_11","PF00066_scovar0",0.0099009900990099,0.24017936841978
"PF00066_11","PF00066_scovar1",0.0198019801980198,0.200802345217451
"PF00066_11","PF00066_scovar10",0,0.137720329959911
"PF00066_11","PF00066_scovar11",0,0.121567844080267
"PF00066_11","PF00066_scovar2",0.0198019801980198,0.196558295089392
"PF00066_11","PF00066_scovar3",0.0198019801980198,0.168438959175069
"PF00066_11","PF00066_scovar4",0.0099009900990099,0.158803313127605
"PF00066_11","PF00066_scovar5",0.0099009900990099,0.14326676780599
"PF00066_11","PF00066_scovar6",0,0.134409916890712
"PF00066_11","PF00066_scovar7",0,0.122471584048414
"PF00066_11","PF00066_scovar8",0,0.133158183768281
"PF00066_11","PF00066_scovar9",0,0.127502806078572
"PF00066_11","PF00066_sr0",0.0297029702970297,0.258724504089707
