Protein family,Layer,Correlation,P value
PF00168,0,0.15762098441041106,0.0
PF00168,1,0.12111725636043397,6.432563930161349e-216
PF00168,2,0.09942629334559562,7.89546105901132e-146
PF00168,3,0.07335860816111447,4.275234891050877e-80
PF00168,4,0.029525679387085994,2.5536508069294566e-14
PF00168,5,0.040896895852579815,4.784862628266078e-26
PF00168,6,0.03312096908777582,1.258983621127742e-17
PF00168,7,0.04389018695945646,9.436694356486504e-30
PF00168,8,0.042419279259597265,6.7262046804979705e-28
PF00168,9,0.036380144008127266,6.0567581128552e-21
PF00168,10,0.03382970110457266,2.5377867813007835e-18
PF00168,11,0.019840633844433218,3.0668599888948046e-07
